SHIP NAME,FILE NAME,SERVER NAME,SHIP VALUES,GIT VALUES,DECISION
Royal-Princess,chkconfig.log,app01,heartbeat      	0:off	1:off	2:on	3:on	4:on	5:on	6:off,heartbeat      	0:off	1:off	2:off	3:off	4:off	5:off	6:off
Royal-Princess,cleancache.sh,app01,heartbeat      	0:off	1:off	2:on	3:on	4:on	5:on	6:off,heartbeat      	0:off	1:off	2:off	3:off	4:off	5:off	6:off
Royal-Princess,cronjob.log,app01,heartbeat      	0:off	1:off	2:on	3:on	4:on	5:on	6:off,heartbeat      	0:off	1:off	2:off	3:off	4:off	5:off	6:off
Royal-Princess,currentupdate.sh,app01,heartbeat      	0:off	1:off	2:on	3:on	4:on	5:on	6:off,heartbeat      	0:off	1:off	2:off	3:off	4:off	5:off	6:off
Royal-Princess,default.prf,app01,heartbeat      	0:off	1:off	2:on	3:on	4:on	5:on	6:off,heartbeat      	0:off	1:off	2:off	3:off	4:off	5:off	6:off
Royal-Princess,deploy.sh,app01,heartbeat      	0:off	1:off	2:on	3:on	4:on	5:on	6:off,heartbeat      	0:off	1:off	2:off	3:off	4:off	5:off	6:off
Royal-Princess,dracut,app01,heartbeat      	0:off	1:off	2:on	3:on	4:on	5:on	6:off,heartbeat      	0:off	1:off	2:off	3:off	4:off	5:off	6:off
Royal-Princess,forecastupdate.sh,app01,heartbeat      	0:off	1:off	2:on	3:on	4:on	5:on	6:off,heartbeat      	0:off	1:off	2:off	3:off	4:off	5:off	6:off
Royal-Princess,ha.cf,app01,heartbeat      	0:off	1:off	2:on	3:on	4:on	5:on	6:off,heartbeat      	0:off	1:off	2:off	3:off	4:off	5:off	6:off
Royal-Princess,hal-shutdown.sh,app01,heartbeat      	0:off	1:off	2:on	3:on	4:on	5:on	6:off,heartbeat      	0:off	1:off	2:off	3:off	4:off	5:off	6:off
Royal-Princess,haresources,app01,heartbeat      	0:off	1:off	2:on	3:on	4:on	5:on	6:off;app01.rp.ocean.com IPaddr::10.25.225.22 IPaddr::10.25.224.23 mutedaemond nacosd node-muted,heartbeat      	0:off	1:off	2:off	3:off	4:off	5:off	6:off;#app01.rp.ocean.com IPaddr::10.25.225.22 IPaddr::10.25.224.23 mutedaemond nacosd node-muted;app01.rp.ocean.com IPaddr::10.25.224.23 mutedaemond nacosd;#app01.rp.ocean.com IPaddr::10.25.128.22 IPaddr::10.25.224.23 mutedaemond nacosd
